espn_id,name,full_name,jersey,position,position_name,height,weight,age,team_name,team_abbr,headshot_url,experience_years,salary,years_remaining,draft_year,draft_round,draft_selection
4997530,Khalifa Diop,Khalifa Diop,18,C,Center,"6' 11""",231 lbs,24.0,Cleveland Cavaliers,CLE,,0.0,,,2022.0,2.0,39.0
4431734,Tristan Enaruna,Tristan Enaruna,21,F,Forward,"6' 8""",220 lbs,25.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4431734.png,1.0,0.0,1.0,,,
3992,James Harden,James Harden,1,G,Guard,"6' 5""",220 lbs,37.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/3992.png,17.0,42317308.0,1.0,2009.0,1.0,3.0
2995706,Mario Hezonja,Mario Hezonja,33,F,Forward,"6' 8""",220 lbs,31.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/2995706.png,6.0,,,2015.0,1.0,5.0
4066757,Sam Merrill,Sam Merrill,5,G,Guard,"6' 4""",205 lbs,30.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4066757.png,6.0,9160714.0,3.0,2020.0,2.0,60.0
5177362,Riley Minix,Riley Minix,12,F,Forward,"6' 7""",230 lbs,25.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/5177362.png,2.0,,,,,
3908809,Donovan Mitchell,Donovan Mitchell,45,G,Guard,"6' 2""",215 lbs,30.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/3908809.png,9.0,50105628.0,2.0,2017.0,1.0,13.0
4432158,Evan Mobley,Evan Mobley,4,C,Center,"6' 11""",215 lbs,25.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4432158.png,5.0,50105628.0,4.0,2021.0,1.0,3.0
4701233,Craig Porter Jr.,Craig Porter Jr.,9,G,Guard,"6' 1""",180 lbs,26.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4701233.png,3.0,2406205.0,1.0,,,
5023693,Tyrese Proctor,Tyrese Proctor,24,G,Guard,"6' 4""",185 lbs,22.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/5023693.png,1.0,2150917.0,3.0,2025.0,2.0,49.0
4278046,Olivier Sarr,Olivier Sarr,33,F,Forward,"6' 10""",240 lbs,27.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4278046.png,4.0,,,,,
5041951,Meleek Thomas,Meleek Thomas,,G,Guard,"6' 3""",190 lbs,20.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/5041951.png,0.0,,,2026.0,2.0,34.0
5106268,Nae'Qwan Tomlin,Nae'Qwan Tomlin,35,F,Forward,"6' 8""",210 lbs,25.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/5106268.png,2.0,2411090.0,1.0,,,
4683747,Jaylon Tyson,Jaylon Tyson,20,G,Guard,"6' 6""",215 lbs,23.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4683747.png,2.0,3658560.0,2.0,2024.0,1.0,20.0
5106261,Ernest Udeh Jr.,Ernest Udeh Jr.,,C,Center,"6' 11""",266 lbs,22.0,Cleveland Cavaliers,CLE,,0.0,,,,,
4576087,Peyton Watson,Peyton Watson,,G,Guard,"6' 8""",200 lbs,24.0,Cleveland Cavaliers,CLE,https://a.espncdn.com/i/headshots/nba/players/full/4576087.png,5.0,,,2022.0,1.0,30.0
4593125,Santi Aldama,Santi Aldama,,F,Forward,"7' 0""",215 lbs,25.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4593125.png,5.0,17007043.0,2.0,2021.0,1.0,30.0
5148538,Tarik Biberovic,Tarik Biberovic,,F,Forward,"6' 7""",218 lbs,25.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/5148538.png,0.0,,,2023.0,2.0,56.0
4432582,Max Christie,Max Christie,00,G,Guard,"6' 5""",190 lbs,23.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4432582.png,4.0,8285714.0,2.0,2022.0,2.0,35.0
4701208,Moussa Cisse,Moussa Cisse,30,C,Center,"6' 11""",220 lbs,24.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4701208.png,1.0,,,,,
5279129,Sergio de Larrea,Sergio de Larrea,55,F,Forward,"6' 7""",202 lbs,20.0,Dallas Mavericks,DAL,,0.0,,,2026.0,1.0,25.0
5041939,Cooper Flagg,Cooper Flagg,32,F,Forward,"6' 9""",205 lbs,19.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/5041939.png,1.0,14517480.0,3.0,2025.0,1.0,1.0
4278049,Daniel Gafford,Daniel Gafford,21,F,Forward,"6' 10""",265 lbs,27.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4278049.png,7.0,17263584.0,3.0,2019.0,2.0,38.0
5105806,Jett Howard,Jett Howard,,G,Guard,"6' 8""",215 lbs,23.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/5105806.png,3.0,,,2023.0,1.0,11.0
6442,Kyrie Irving,Kyrie Irving,11,G,Guard,"6' 2""",195 lbs,34.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/6442.png,14.0,39416562.0,2.0,2011.0,1.0,1.0
5358755,Vsevolod Ishchenko,Vsevolod Ishchenko,,G,Guard,"6' 8""",218 lbs,21.0,Dallas Mavericks,DAL,,0.0,,,2026.0,2.0,56.0
4873153,Morez Johnson Jr.,Morez Johnson Jr.,14,F,Forward,"6' 9""",250 lbs,20.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4873153.png,0.0,,,2026.0,1.0,9.0
5106040,Tobi Lawal,Tobi Lawal,,F,Forward,"6' 8""",215 lbs,23.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/5106040.png,0.0,,,2026.0,2.0,48.0
4683688,Dereck Lively II,Dereck Lively II,2,C,Center,"7' 1""",230 lbs,22.0,Dallas Mavericks,DAL,https://a.espncdn.com/i/headshots/nba/players/full/4683688.png,3.0,7239130.0,1.0,2023.0,1.0,12.0
